,pl_name,pl_letter,hostname,ra,dec,glon,glat,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_trandep,pl_tranmid,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,pl_controv_flag,st_metratio,st_spectype,sy_kepmag,st_rotp,cb_flag,pl_trandur,pl_rvamp,pl_radj,pl_rade,pl_ratror,pl_ratdor,sy_icmag,dkin_flag,pl_imppar,pl_bmassj,pl_bmasse,pl_bmassprov,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra
0,OGLE-2016-BLG-1227L b,b,OGLE-2016-BLG-1227L,265.597125,-33.7597778,355.52875,-1.93858,,3.4,,,,,0.512,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,1.24,13.9,,,,0,,0.79,250.0,Mass,,,,,,,,0.1,,,0,0,0,0,0,0,1,0,0,0,1,1,0,,
1,Kepler-276 c,c,Kepler-276,293.568197,39.0363123,72.30607,9.13322,31.884,0.1994,0.0,563.0,,19.79,3.74,0.091,2454993.20696,1.09572,0.846215,1144.86,15.228,15.481,14.234,13.867,13.838,,15.297,15.159,15.047,13.831,13.967,12.677,9.256,15.857,15.3648,14.8896,0,[Fe/H],,15.368,,0,5.099,,0.259,2.9,0.02815,17.44,,0,0.3966,0.052,16.6,Mass,5779.0,0.02,,,-0.089,4.46,0.4,1.1,1.73156,1.03,1,0,1,0,0,0,0,0,0,0,1,3,0,8.0702604,7.99553
2,Kepler-829 b,b,Kepler-829,282.3328312,42.4638125,71.95093,18.29325,6.88337562,0.0678,0.0,857.0,,247.47,2.98,0.04584,2454968.26458,-2.45556,0.902722,1073.76,15.605,14.973,13.699,13.364,13.29,,14.888,14.708,14.637,13.285,13.323,12.506,9.038,15.452,14.9206,14.4166,0,[Fe/H],,14.931,,0,2.2442,,0.188,2.11,0.02013,23.559,,0,0.075,0.016,5.1,M-R relationship,5698.0,0.03,,,0.04,4.46,4.68,0.98,5.22062,0.97,0,0,1,0,0,0,0,0,0,0,1,1,0,8.3089089,7.93777
3,K2-283 b,b,K2-283,13.1943679,9.6929181,123.48272,-53.1774,1.921036,0.0291,,1186.0,,,1.54,0.1967,2457394.90901,-1.73796,2.45325,402.915,15.516,14.364,12.579,12.114,11.983,17.0887,14.1868,13.051,13.7562,11.936,12.018,12.507,8.785,15.2113,14.1316,13.4901,0,[Fe/H],,14.119,,0,1.7496,,0.314,3.52,0.0393,8.23,,0,0.37,0.0383,12.2,M-R relationship,5060.0,0.28,,,-0.524,4.56,,0.89,2.861,0.82,0,0,1,0,0,0,0,0,0,0,1,1,0,11.1101761,-10.9734
4,Kepler-477 b,b,Kepler-477,288.067445,42.355305,73.50616,14.33019,11.11990653,0.0911,0.0,649.0,,38.71,3.06,0.06363,2454972.752936,-6.0,,367.0,14.526,13.835,12.274,11.832,11.729,,13.489,13.263,13.175,11.628,11.674,11.62,9.269,14.174,,12.889,0,[Fe/H],,13.536,,0,3.3296,,0.185,2.07,0.02398,19.7,,0,0.68,0.0155,4.94,M-R relationship,5240.0,-0.04,,,-0.372,4.58,2.09,0.87,1.44556,0.79,0,0,1,0,0,0,0,0,0,0,2,1,0,26.7,-26.0
5,HAT-P-11 c,c,HAT-P-11,297.7101763,48.0818635,81.83486,10.77239,3407.0,4.13,0.601,,,,1.71,,,232.988,26.4508,37.7647,10.556,9.46,7.608,7.131,7.009,,9.479,,,6.919,7.001,6.97,6.867,10.665,9.15098,8.5077,0,[Fe/H],K4,9.174,29.2,0,,30.9,1.19,13.3,,,,0,,2.3,731.009,Mass,4780.0,0.31,-63.24,1.5,-0.564,4.66,6.5,0.81,3.70008,0.68,0,0,0,1,0,0,0,0,0,0,1,2,0,264.8686021,125.984
6,Qatar-7 b,b,Qatar-7,358.5151344,37.0218242,110.38223,-24.44772,2.032046,0.0352,0.0,2053.0,,,0.502,,2458043.32075,-1.12874,1.38842,705.981,13.695,13.134,11.859,11.599,11.561,15.2332,13.0463,12.8781,13.3242,11.481,11.504,11.252,8.969,15.369,12.9275,12.489,0,[Fe/H],F4 V,,5.9,0,3.5784,239.0,1.7,19.055,0.11,4.84,,0,0.08,1.88,597.5204,Mass,6387.0,0.276,-4.7,13.8,0.563,4.2,1.69,1.41,0.521,1.56,0,0,1,1,0,0,0,0,0,0,1,1,0,5.310004,-5.18865
7,HD 149143 b,b,HD 149143,248.2126715,2.0844547,17.5164,31.48148,4.07182,0.053,0.0167,,,,0.923,,,-86.7391,13.6179,73.2801,8.482,7.89,6.759,6.535,6.434,,,,,6.43,6.386,6.428,6.417,,7.74081,7.3185,0,[Fe/H],G0,,,0,,150.3,1.22,13.6,,,,0,,1.33,422.7139,Msini,5856.0,0.29,12.06,3.9,0.35,4.25,4.28,1.2,0.28619,1.44,0,0,0,1,0,0,0,0,0,0,1,1,0,87.2392449,-9.32815
8,HD 210702 b,b,HD 210702,332.9638643,16.0404806,76.29345,-32.02111,354.1,1.148,0.028,,,,1.31,,,-17.1556,18.4231,54.1963,6.895,5.93022,4.508,3.995,3.984,,,,,3.713,3.4,3.696,3.61,,5.6807,5.115,0,[Fe/H],K1 III,,,0,,37.8,1.2,13.4,,,,0,,1.808,574.63664,Msini,4951.0,0.04,16.39,1.99,1.149,3.28,2.1,1.61,,4.92,0,0,0,1,0,0,0,0,0,0,1,1,0,17.4590557,-3.24099
9,HIP 12961 b,b,HIP 12961,41.6800749,-23.0860048,210.53871,-63.65019,57.435,0.25,0.17,,,,0.273,,,140.972,42.7591,23.371,11.602,10.25,7.558,6.927,6.736,,,,,6.639,6.633,6.61,6.476,,9.59893,8.7514,0,[Fe/H],M0,,,0,,24.7,1.18,13.2,,,,0,,0.36,114.4188,Msini,3901.0,-0.14,,,-1.003,4.65,,0.69,3.02935,0.65,0,0,0,1,0,0,0,0,0,0,1,1,0,326.883283,294.923
10,HD 11755 b,b,HD 11755,29.707836,73.1521372,127.83989,10.92581,433.70001,1.09,0.19,,,,4.69,,,-57.4339,4.22586,235.045,8.336,6.88269,4.667,3.931,3.76,,,,,3.804,3.55,3.745,3.707,,6.46378,5.74336,0,[Fe/H],G5,,,0,,191.3,1.14,12.8,,,,0,,5.63,1789.3829,Msini,4312.0,-0.74,-86.72,2.3,2.169,1.67,10.2,0.72,,20.58,0,0,0,1,0,0,0,0,0,0,1,1,0,81.4679756,-57.7787
11,Qatar-1 b,b,Qatar-1,303.3818697,65.1623313,98.71917,16.42429,1.4200242,0.02332,0.0,1418.0,0.196,382.33,1.076,2.14,2456234.103218,58.1698,5.35866,185.615,13.384,12.692,10.999,10.527,10.409,,,,,10.325,10.395,10.336,9.358,,12.4764,11.8478,0,[Fe/H],,,23.7,0,1.66104,261.6,1.143,12.812,0.14629,6.247,,0,0.645,1.294,411.27202,Mass,5013.0,0.171,-38.06,1.76,-0.438,4.55,1.19,0.84,2.286,0.8,1,0,1,1,0,0,0,0,0,0,1,1,0,59.5264366,12.6361
12,TOI-942 b,b,TOI-942,76.6496172,-20.2456126,220.9805,-31.77457,4.32419,0.04796,0.0,1120.0,,261.86,,0.148,2458441.5762,-3.97609,6.52427,152.601,12.783,11.982,10.231,9.747,9.639,,11.651,11.393,,9.576,9.609,9.453,8.478,12.39,11.6346,11.0462,0,[Fe/H],K2.5 V,,3.4,0,3.4032,370.0,0.429,4.81,0.04322,10.12,,0,0.05,2.6,826.358,Mass,4928.0,-0.221,25.32,14.3,-0.369,4.31,0.09,0.79,1.634,1.02,0,0,1,0,0,0,0,0,0,0,3,2,0,15.8874837,15.3819
13,HD 5608 b,b,HD 5608,14.5594349,33.9505774,124.54264,-28.8999,779.9,1.911,0.056,,,,1.19,,,-71.265,17.1801,58.1105,6.996,6.00272,4.478,3.88,3.826,,,,,3.655,3.484,3.683,3.633,,5.72695,5.1421,0,[Fe/H],K0,,,0,,28.0,1.2,13.5,,,,0,,1.681,534.27223,Msini,4877.0,0.14,-22.8,1.37,1.179,3.19,1.72,1.53,,5.14,0,0,0,1,0,0,0,0,0,0,1,1,0,80.0315175,36.419
14,HD 95872 b,b,HD 95872,165.8658796,-22.0943303,272.33533,34.28324,4375.0,5.15,0.06,,,,2.97,,,-80.2567,13.8178,72.2195,10.79,9.955,8.406,8.04,7.956,,,,,7.845,7.936,7.893,8.171,,9.65278,9.1218,0,[Fe/H],K0 V,,,0,,59.0,1.16,13.0,,,,0,,3.74,1188.6842,Msini,5312.0,0.41,1.72,,-0.242,4.43,10.0,0.7,1.52053,0.84,0,0,0,1,0,0,0,0,0,0,1,1,0,263.0130374,-250.469
15,OGLE-2015-BLG-0966L b,b,OGLE-2015-BLG-0966L,268.75425,-29.0471111,0.95823,-1.8212,,2.7,,,,,1.01,,,,,3300.0,,,,,,,,,,,,,,,,,0,,,,,0,,,0.433,4.86,,,,0,,0.066,21.0,Mass,,,,,,,,0.38,,,0,0,0,0,0,0,1,0,0,0,1,1,0,,
16,TOI-561 b,b,TOI-561,148.1851516,6.216103,230.84909,42.72934,0.446578,0.01055,0.0,2480.0,,4383.42,3.0,0.024712,2458517.498,-61.5108,11.6268,85.799,10.965,10.252,8.879,8.504,8.394,,,,,8.337,8.396,8.375,7.971,,10.0128,9.5273,0,[Fe/H],G9 V,,,0,1.327,1.56,0.127,1.423,0.0152,2.646,,0,0.14,0.005,1.59,Mass,5455.0,-0.33,79.54,2.0,-0.282,4.47,5.0,0.79,1.809,0.85,0,0,1,1,0,0,0,0,0,0,1,5,0,124.6638566,-108.432
17,WASP-49 b,b,WASP-49,91.0897193,-16.9653901,223.26522,-17.86,2.78174,0.0379,0.0,1400.0,,615.47,0.288,1.4,2458470.81963,-19.0607,5.11132,194.553,11.926,11.352,10.146,9.812,9.749,,,,,9.648,9.677,9.632,8.669,,11.2907,10.8164,0,[Fe/H],G6 V,,,0,2.14,56.8,1.11,12.442,,8.37,,0,0.7704,0.37,117.5971,Mass,5600.0,-0.23,41.73,0.9,-0.053,4.5,11.9,0.92,1.43,0.97,0,0,1,1,0,0,0,0,0,0,2,1,0,57.9913568,54.7694
18,WASP-56 b,b,WASP-56,183.3660401,23.055687,236.20496,80.491,4.6171,0.05614,0.0,1216.0,,447.82,0.583,1.0,2455841.60939,2.79231,3.08648,321.084,12.723,12.091,10.874,10.603,10.532,15.1056,12.0566,11.9146,13.2576,10.481,10.535,10.529,8.604,12.9637,12.0028,11.5384,0,[Fe/H],G6,,,0,3.5616,69.0,0.94,10.536,0.10095,10.88,11.388,0,0.272,0.45,143.0235,Mass,5600.0,0.12,4.68,1.5,0.103,4.5,6.2,0.71,1.14,0.96,0,0,1,1,0,0,0,0,0,0,2,1,0,36.8009875,-36.6949
19,WASP-47 c,c,WASP-47,331.203092,-12.019067,45.74798,-48.18707,588.8,1.393,0.295,247.0,,,1.12,,2457763.1,-41.3086,3.74964,264.78,12.736,11.936,10.613,10.31,10.192,,,,,10.165,10.236,10.172,8.745,,11.7889,11.29,0,[Fe/H],,11.762,32.5,0,,31.04,1.21,13.5,,261.4,,0,,1.57,500.0,Mass,5552.0,0.38,-25.85,1.8,0.024,4.34,6.5,1.04,0.998,1.14,0,0,0,1,0,0,0,0,0,0,1,4,0,43.9557276,15.0235
20,WASP-57 b,b,WASP-57,223.8199788,-2.0576866,353.50394,48.2726,2.83891856,0.03769,0.059,1338.0,,702.39,0.693,1.269,2456058.5491,-4.68718,2.48261,398.276,13.576,12.913,11.625,11.292,11.244,15.0087,14.3176,12.7321,12.9354,11.193,11.236,11.075,9.271,13.4649,12.7293,12.2688,0,[Fe/H],G6,,,0,2.304,100.0,1.05,11.769,0.1182,8.7489,12.243,0,0.345,0.644,204.68252,Mass,5600.0,-0.25,-23.21,3.7,-0.005,4.45,2.6,0.89,1.568,0.93,0,0,1,1,0,0,0,0,0,0,1,1,0,27.4669832,-27.0641
21,WTS-2 b,b,WTS-2,293.7327826,36.8154936,70.38182,7.98072,1.0187068,0.01855,0.0,2000.0,,2544.69,0.54,9.104364,2454317.81333,-0.953651,0.9701501,1030.7683444,17.094,15.954,13.928,13.464,13.414,,,,,13.299,13.367,12.107,9.176,,15.5965,14.956,0,[Fe/H],K2 V,,,0,1.4816867,256.0,1.363,15.278,0.1863,,,0,0.584,1.12,355.9696,Mass,5000.0,0.2,-20.03,2.2,-0.288,4.6,0.6,0.82,2.72,0.75,0,0,1,1,0,0,0,0,0,0,1,1,0,0.9641658,0.142005
22,XO-1 b,b,XO-1,240.5492745,28.1696248,45.85302,48.02124,3.94153,0.0488,0.0,1210.0,,321.85,0.64,1.8,2455385.51978,14.8202,6.08537,163.553,11.878,11.251,9.939,9.601,9.527,14.8365,11.0495,10.8685,11.3144,9.495,9.518,9.507,9.248,11.7844,11.004,10.5484,0,[Fe/H],G1 V,,,0,2.9712,116.0,1.14,12.778,0.1326,11.37,10.43,0,0.24,0.83,263.7989,Mass,5750.0,0.02,2.56,1.11,-0.086,4.51,0.9,0.88,1.79,0.88,0,0,1,1,0,0,0,0,0,0,1,1,0,22.8728638,-17.4221
23,XO-2 N b,b,XO-2 N,117.0267691,50.2251472,168.28983,29.32831,2.61586178,0.0368,0.028,1328.0,,1566.65,0.715,1.407,2454508.73829,-154.272,6.45395,154.273,11.947,11.246,9.744,9.34,9.308,14.9353,14.4984,10.8006,13.0957,9.24,9.31,9.236,8.833,14.8008,10.9718,10.4467,0,,K0 V,,28.6,0,2.6839,90.17,0.993,11.131,0.10304,7.986,10.243,0,0.28,0.566,179.89178,Mass,5340.0,0.43,46.93,1.07,-0.088,4.43,7.8,0.97,1.41,0.99,0,0,1,1,0,0,0,0,0,0,2,3,0,157.1107895,-29.7313
24,XO-2 S b,b,XO-2 S,117.0309753,50.2169068,168.29963,29.3298,18.157,0.13,0.18,,,,0.351,,,-154.398,6.57655,151.398,12.051,11.196,9.742,9.371,9.272,14.7371,10.9759,14.5936,11.022,9.239,9.306,9.272,8.256,10.9208,10.9278,10.4164,0,[Fe/H],,,,0,,20.6,0.971,10.9,,,10.216,0,,0.26,82.6358,Msini,5399.0,0.39,46.54,1.7,-0.123,4.43,7.1,0.98,1.5421,1.0,0,0,0,1,0,0,0,0,0,0,2,3,0,157.1566271,-29.3166
25,HAT-P-3 b,b,HAT-P-3,206.0940142,48.028565,100.16678,66.69255,2.8997,0.03866,0.0,1189.0,,176.59,0.855,1.2,2455694.72623,-24.0079,7.40311,134.554,12.526,11.856,9.936,9.542,9.448,15.3497,11.2937,11.093,11.4145,9.377,9.451,9.389,9.038,12.0573,11.2795,10.7164,0,[Fe/H],K,,,0,2.087,89.1,0.94,10.536,0.1094,10.05,10.504,0,0.574,0.65,206.5895,Mass,5185.0,0.27,-23.38,1.4,-0.36,4.56,1.6,1.06,2.28,0.87,0,0,1,1,0,0,0,0,0,0,2,1,0,31.0851689,-19.7461
26,tau Cet e,e,tau Cet,26.0093029,-15.9337987,173.07319,-73.4424,162.87,0.538,0.18,,,,3.64,,,855.493,277.516,3.60304,4.22,3.49607,2.149,1.8,1.794,,,,,,,,,,3.24854,2.7459,0,[Fe/H],G8.5V,,34.5,0,,0.55,0.161,1.81,,,2.68,0,,0.01237,3.93,Msini,5310.0,-0.52,-17.1,1.8,-0.305,4.52,12.12,0.78,2.24358,0.83,0,0,0,1,0,0,0,0,0,0,1,4,0,1929.7238523,-1729.73
27,K2-254 c,c,K2-254,185.5507926,-4.7172908,289.32884,57.38029,12.11839,0.0923,,551.0,,,2.84,0.12,2457590.6136,-12.1955,4.3615,227.775,15.386,14.238,11.986,11.389,11.296,,,,,11.219,11.293,11.319,8.741,,13.7427,13.018,0,[Fe/H],,13.765,,0,2.4,,0.195,2.19,0.0298,31.3,,0,0.42,0.0171,5.43,M-R relationship,4629.0,-0.14,,,-0.822,4.64,,0.71,2.71073,0.67,0,0,1,0,0,0,0,0,0,0,1,2,0,13.8643151,6.59462
28,WASP-153 b,b,WASP-153,279.2624729,40.0186905,68.68938,19.63191,3.332609,0.048,0.009,1700.0,,1400.0,0.15,0.844463,2453142.542,0.249596,1.61032,610.176,13.454,12.591,11.408,11.138,11.051,15.5386,12.5399,12.4093,13.3446,10.978,11.022,10.815,9.126,13.3,12.4967,12.0545,0,[Fe/H],G0,,,0,3.84,44.0,1.55,17.374,0.092,6.0,,0,0.48,0.39,123.9537,Mass,5914.0,0.34,-28.32,5.19,0.46,4.1,4.0,1.34,0.37,1.73,0,0,1,1,0,0,0,0,0,0,1,1,0,8.7825174,8.77897
29,EPIC 220554210 c,c,K2-282,13.4321524,7.9952914,123.91754,-54.87207,0.70531,,,,,,4.28,0.0262,2457466.1131,-5.85039,1.98627,496.289,14.845,14.21,12.437,12.084,12.002,16.5176,13.8864,13.7799,14.1107,11.959,12.032,12.161,8.806,16.0253,13.8183,13.2667,0,[Fe/H],,13.723,,0,1.704,,0.143,1.6,0.0145,3.0,,0,0.25,0.01,3.19,M-R relationship,5499.0,-0.23,,,-0.215,4.5,,0.94,1.442,1.0,0,0,1,0,0,0,0,0,0,0,1,2,0,32.432431,31.9004
30,NSVS 14256825 b,b,NSVS 14256825,305.001946,4.6323715,47.68869,-17.30896,3225.0,3.12,0.12,,,,13.3,,,1.13343,1.19288,820.877,13.091,13.296,13.658,13.797,13.945,,,,,14.016,14.096,12.709,8.482,,13.2452,13.384,0,,,,,1,,,1.1,12.3,,,,0,,14.15,4497.2945,Msini,40000.0,,,,1.974,5.5,,0.42,80.3914,0.19,0,0,0,0,0,0,0,1,0,0,2,1,0,8.1420268,8.06275
31,Kepler-1390 b,b,Kepler-1390,298.6624419,48.2488659,82.29819,10.29931,6.48021673,0.0662,0.0,934.0,,171.13,5.89,0.0142,2454965.85971,18.8861,1.35373,723.431,15.426,14.558,13.178,12.82,12.764,,14.363,14.208,14.111,12.739,12.813,12.224,9.403,14.921,14.4022,13.8982,0,[Fe/H],,14.421,,0,3.211,,0.105,1.18,0.01067,15.2,,0,0.226,0.00553,1.76,M-R relationship,5753.0,-0.01,,,-0.1,4.45,4.47,0.98,1.58258,0.98,0,0,1,0,0,0,0,0,0,0,1,1,0,21.6521087,10.5891
32,Kepler-393 c,c,Kepler-393,290.995205,45.192188,77.06756,13.57678,14.613612,0.124,0.0,901.0,,231.21,5.44,0.00746,2454973.4124,-8.08032,1.10585,881.404,14.107,13.258,12.325,12.087,11.995,,13.178,13.107,13.076,12.002,12.029,12.023,9.277,13.494,13.1783,12.8235,0,[M/H],,13.223,,0,5.401,,0.119,1.33,0.008,10.45,,0,0.76,0.00733,2.33,M-R relationship,6189.0,0.032,,,0.524,4.23,2.15,1.21,0.56072,1.38,0,0,1,0,0,0,0,0,0,0,1,2,0,11.3914196,-8.0295
33,Kepler-263 c,c,Kepler-263,292.4698022,37.5677941,70.58352,9.22104,47.332773,0.242,0.0,386.0,,5.99,2.43,0.09755,2454984.4095,0.452901,1.29686,754.747,15.874,15.435,13.994,13.531,13.548,17.9565,15.3685,15.1046,14.9785,13.326,13.39,12.508,9.189,16.09,15.4167,14.8343,0,[M/H],,15.391,,0,3.069,,0.22,2.47,0.02813,129.8,,0,0.06,0.021,6.66,M-R relationship,5265.0,-0.031,,,-0.456,4.58,7.9,0.8,18.4817,0.79,0,0,1,0,0,0,0,0,0,0,1,2,0,5.7909475,5.77321
34,Kepler-1431 b,b,Kepler-1431,292.6583919,49.8651522,81.92215,14.53543,5.86601526,0.0648,0.0,1064.0,,469.82,4.77,0.0183,2454969.35597,-6.42417,0.587191,1623.24,16.141,15.4,14.098,13.787,13.756,,15.235,15.056,15.026,,,,,15.781,15.2711,14.7817,0,[Fe/H],,15.273,,0,3.978,,0.131,1.47,0.01288,6.1,,0,0.3019,0.00869,2.76,M-R relationship,5806.0,0.07,,,0.243,4.42,4.27,1.03,0.71412,1.03,0,0,1,0,0,0,0,0,0,0,1,1,0,6.7815302,-2.17237
35,Kepler-237 c,c,Kepler-237,283.2213438,40.421762,70.20006,16.94089,8.103636,0.071,0.0,687.0,,60.64,3.04,0.08879,2455009.94805,-11.2637,1.49163,657.822,16.649,15.689,13.749,13.223,13.172,18.4376,15.2059,14.9108,14.7671,13.007,13.064,12.757,9.457,16.1044,15.2832,14.6368,0,[Fe/H],,15.289,,0,3.15,,0.186,2.08,0.02846,20.09,,0,0.14,0.0157,4.98,M-R relationship,4861.0,0.03,,,-0.477,4.58,13.8,0.7,1.97075,0.72,0,0,1,0,0,0,0,0,0,0,1,2,0,14.1094077,-8.49732
36,Kepler-1510 b,b,Kepler-1510,298.9591432,48.2578295,82.40526,10.13197,84.703921,0.4089,0.0,537.0,,14.04,1.62,0.06557,2454985.1859,1.98356,0.56165,1696.25,15.924,15.315,14.076,13.779,13.728,,15.133,14.978,14.926,13.567,13.663,13.187,9.172,15.613,15.1424,14.6898,0,[Fe/H],,15.169,,0,10.447,,0.3,3.36,0.02401,63.38,,0,0.01,0.0354,11.2,M-R relationship,6200.0,0.04,,,0.377,4.29,2.75,1.19,0.68214,1.28,0,0,1,0,0,0,0,0,0,0,1,1,0,2.7925208,-1.96562
37,Kepler-169 e,e,Kepler-169,285.9999204,40.9193822,71.50909,15.17842,13.767102,0.105,0.0,595.0,,28.55,2.83,0.06848,2455007.81064,10.6388,2.43105,406.529,15.451,14.424,12.729,12.283,12.186,,14.123,13.878,13.76,12.097,12.193,11.807,9.13,14.929,14.1617,13.5624,0,[Fe/H],,14.194,,0,2.912,,0.196,2.2,0.02966,15.2,,0,0.79,0.0172,5.48,M-R relationship,4997.0,0.05,,,-0.496,4.58,13.8,0.84,0.96318,0.76,0,0,1,0,0,0,0,0,0,0,1,5,0,11.7271334,4.93372
38,Kepler-145 c,c,Kepler-145,291.3877397,44.5290465,76.5726,13.04277,42.882,0.2578,0.11,709.0,,67.19,5.41,0.04089,2455036.6478,-11.8394,1.73566,566.85,12.737,11.977,10.913,10.693,10.628,,11.897,11.799,11.759,10.601,10.626,10.628,9.326,12.239,11.8746,11.4853,0,[M/H],,11.931,,0,9.7471,,0.385,4.32,0.01998,23.17,,0,0.742,0.25,79.4,Mass,6022.0,-0.001,-26.09,,0.692,4.02,3.24,1.32,0.20152,1.85,1,0,1,0,0,0,0,0,0,0,1,2,0,12.1567883,-2.75973
39,Kepler-219 c,c,Kepler-219,288.7389481,46.7625929,77.88787,15.64895,22.714613,0.165,0.0,766.0,,54.1,1.5,0.05686,2454980.29108,2.85448,1.24178,787.07,14.594,13.823,12.678,12.4,12.389,,13.692,13.588,13.537,12.305,12.364,12.104,8.994,14.174,13.7179,13.2839,0,[M/H],,13.764,,0,5.808,,0.319,3.58,0.02142,29.4,,0,0.01,0.0394,12.5,M-R relationship,5786.0,0.361,,,0.214,4.16,4.0,1.17,0.73757,1.49,0,0,1,0,0,0,0,0,0,0,1,3,0,3.1512348,-1.335
40,Kepler-910 b,b,Kepler-910,296.0472937,42.7429414,76.51187,9.22798,2.36436901,0.0382,0.0,1752.0,,2108.07,4.75,0.00288,2454965.25006,-11.2882,2.46984,400.289,11.862,11.44,10.626,10.383,10.329,,11.528,11.473,11.438,10.288,10.335,10.25,9.303001,11.896,11.5286,11.1493,0,[Fe/H],,11.6,,0,3.2852,,0.073,0.82,0.00492,3.15,,0,0.812,0.0015,0.477,M-R relationship,6230.0,0.12,-1.66,,0.494,4.19,3.39,1.26,0.41794,1.5,0,0,1,0,0,0,0,0,0,0,1,1,0,16.1555432,-11.5576
41,Kepler-1037 b,b,Kepler-1037,296.3410342,47.1709335,80.5711,11.14897,1.06378867,0.0198,0.0,1650.0,,1015.43,5.71,0.02658,2454964.524735,15.7942,2.20874,446.914,14.573,14.475,12.821,12.327,12.248,,14.139,13.926,13.816,12.207,12.275,12.49,9.052,14.937,14.2311,13.6376,0,[Fe/H],,14.229,,0,1.0764,,0.114,1.28,0.01467,7.62,,0,0.466,0.00687,2.18,M-R relationship,5105.0,-0.03,,,-0.448,4.57,5.13,0.82,7.38471,0.78,0,0,1,0,0,0,0,0,0,0,1,1,0,16.3577555,4.25669
42,Kepler-992 b,b,Kepler-992,284.4304085,47.6416613,77.61384,18.69367,20.16034462,0.1339,0.0,510.0,,15.29,4.21,0.03364,2454977.3439,-17.9838,3.82261,259.639,14.595,13.557,11.899,11.381,11.274,,13.32,13.057,12.923,11.231,11.289,11.19,9.269,14.165,13.3901,12.7701,0,[Fe/H],,13.389,,0,3.8215,,0.145,1.62,0.02024,43.3,,0,0.8887,0.0102,3.26,M-R relationship,4944.0,-0.04,,,-0.57,4.6,3.02,0.8,2.48007,0.74,0,0,1,0,0,0,0,0,0,0,1,1,0,24.8928262,17.2115
43,Kepler-113 b,b,Kepler-113,287.9978721,50.9441847,81.73182,17.6898,4.754,0.0502,0.0,775.0,,105.33,10.73,0.07487,2454961.5463,-38.8777,3.78279,262.351,14.99,13.655,11.886,11.36,11.255,,13.399,13.097,12.951,11.198,11.279,11.265,9.362001,14.31,13.4598,12.8077,0,[Fe/H],,13.461,,0,2.5037,5.4,0.162,1.82,0.02419,14.53,,0,0.08,0.037,11.7,Mass,4725.0,0.05,,0.4,-0.576,4.64,6.89,0.75,2.71,0.69,0,0,1,1,0,0,0,0,0,0,1,2,0,39.3248263,-5.91324
44,Kepler-1097 b,b,Kepler-1097,281.5941261,42.5963949,71.88436,18.84996,187.747029,0.5791,0.0,267.0,,1.3,1.7,0.1583,2454990.35773,-2.65594,1.36077,719.802,16.001,15.652,13.838,13.404,13.252,,15.183,14.928,14.824,13.292,13.351,12.536,9.457,15.855,15.2071,14.6412,0,[Fe/H],,15.206,,0,5.408,,0.291,3.26,0.03792,252.45,,0,0.2898,0.0336,10.7,M-R relationship,5211.0,-0.11,,,-0.404,4.57,4.9,0.82,8.63421,0.79,1,0,1,0,0,0,0,0,0,0,1,1,0,3.1045661,-1.60758
45,Kepler-382 b,b,Kepler-382,299.1362435,45.8699582,80.36831,8.83576,5.262155,0.055,0.0,1166.0,,381.46,5.5,0.01945,2454969.36774,7.65026,1.0407,935.446,15.885,14.907,13.403,12.953,12.89,,14.601,14.371,14.267,12.854,12.882,12.989,9.068,15.212,14.6662,14.1132,0,[M/H],,14.623,,0,3.229,,0.118,1.32,0.0124,9.0,,0,0.6,0.00724,2.3,M-R relationship,5600.0,0.082,,,0.146,4.4,11.3,0.88,0.37659,0.94,0,0,1,0,0,0,0,0,0,0,1,2,0,12.0804005,9.34931
46,Kepler-1310 b,b,Kepler-1310,283.9200236,40.7400419,70.71355,16.56523,0.67933627,0.0148,0.0,1883.0,,2830.91,4.91,0.02585,2454965.857331,-13.0263,1.72822,569.185,15.12,14.346,12.912,12.516,12.436,16.1422,14.0512,13.868,13.79,12.447,12.492,12.473,9.425,14.6133,14.1223,13.6217,0,[Fe/H],,14.159,,0,1.1783,,0.128,1.44,0.01471,4.48,,0,0.643,0.00839,2.67,M-R relationship,5549.0,-0.07,,,-0.192,4.51,4.17,0.91,3.18974,0.88,0,0,1,0,0,0,0,0,0,0,1,1,0,13.2470707,-2.4084
