,pl_name,pl_letter,hostname,ra,dec,glon,glat,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_trandep,pl_tranmid,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,pl_controv_flag,st_metratio,st_spectype,sy_kepmag,st_rotp,cb_flag,pl_trandur,pl_rvamp,pl_radj,pl_rade,pl_ratror,pl_ratdor,sy_icmag,dkin_flag,pl_imppar,pl_bmassj,pl_bmasse,pl_bmassprov,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra
474,HD 89744 b,b,HD 89744,155.5433193,41.2289354,178.39109,56.39325,256.78,0.917,0.677,,,,7.29,,,-138.144,25.8537,38.6364,6.25,5.73469,4.855,4.529,4.454,,,,,4.437,4.133,4.508,4.446,,5.60551,5.2403,0,[M/H],F7 V,,,0,,269.66,1.12,12.6,,,,0,,8.35,2653.8805,Msini,6291.0,0.224,-5.6,9.5,0.796,4.07,1.88,1.86,0.17589,2.13,0,0,0,1,0,0,0,0,0,0,2,1,0,183.3619728,-120.573
475,Kepler-842 b,b,Kepler-842,292.3285976,49.6535171,81.63101,14.63931,1.21956827,0.0204,0.0,1252.0,,588.95,4.28,0.04949,2454966.460111,2.26921,1.84875,532.726,16.358,15.363,13.538,12.997,12.913,,15.059,14.77,14.593,12.805,12.878,12.554,9.4,15.961,15.1296,14.4695,0,[Fe/H],,15.127,,0,1.5672,,0.143,1.6,0.02025,6.075,,0,0.1661,0.01,3.19,M-R relationship,4848.0,-0.02,,,-0.612,4.6,4.37,0.78,2.76789,0.73,0,0,1,0,0,0,0,0,0,0,1,1,0,6.3455372,5.92592
476,Kepler-56 c,c,Kepler-56,293.7583002,41.871807,74.92557,10.31441,21.40239,0.1652,0.0,1087.0,,317.21,1.06,0.04093,2454978.656,-12.0247,1.06729,912.994,13.954,12.598,10.813,10.33,10.227,,12.373,12.09,11.911,10.142,10.245,10.172,8.881,13.255,12.4298,11.7846,0,[Fe/H],,12.44,,0,11.721,,0.874,9.8,0.02292,5.66,,0,0.943,0.57,181.0,Mass,4840.0,0.2,-54.3,,0.905,3.31,3.5,1.32,0.0246,4.23,1,0,1,0,0,0,0,0,0,0,1,3,0,13.7878727,-6.74626
477,Kepler-279 c,c,Kepler-279,287.391295,42.194822,73.14702,14.72413,35.736,0.2236,0.0,774.0,,60.16,0.3,0.07915,2454984.0612,0.138953,0.935277,1037.4,13.73,13.647,12.724,12.509,12.509,,13.589,13.518,13.523,12.501,12.507,12.701,9.439,13.869,13.5847,13.2412,0,[M/H],,13.659,,0,8.995,,0.384,4.3,0.03085,18.88,,0,0.9169,0.155,49.4,Mass,6689.45,-0.114,,,0.519,4.42,0.22,1.1,0.0435,1.07,1,0,1,0,0,0,0,0,0,0,1,3,0,3.9877916,3.98537
478,Kepler-791 b,b,Kepler-791,293.5958044,39.0294267,72.30998,9.11103,14.5539759,0.1256,0.0,939.0,,140.06,1.85,0.03197,2454967.11314,-12.7885,0.761688,1266.34,14.669,14.473,13.418,13.139,13.158,,14.312,14.22,14.186,13.073,13.104,12.899,9.435,14.741,14.3687,13.9655,0,[Fe/H],,14.377,,0,6.254,,0.272,3.05,0.01931,10.1,,0,0.863,0.03,9.53,M-R relationship,6383.0,0.06,,,0.403,4.21,2.24,1.3,0.01771,1.47,0,0,1,0,0,0,0,0,0,0,1,1,0,13.8389908,-5.28885
479,Kepler-127 d,d,Kepler-127,285.1899439,46.0280596,76.21619,17.64003,48.630408,0.28,0.03,590.0,,31.52,2.23,0.03524,2455005.54709,20.8348,2.80577,352.794,12.071,11.746,10.536,10.3,10.234,,11.422,11.358,11.352,10.222,10.248,10.189,8.652,11.779,11.4381,11.0567,0,[M/H],,11.485,,0,7.018,,0.236,2.64,0.01804,53.48,,0,0.62,0.0235,7.46,M-R relationship,6106.0,0.214,-21.16,,0.407,4.26,2.63,1.27,0.52724,1.36,0,0,1,0,0,0,0,0,0,0,1,3,0,20.8873926,-1.48131
480,TOI-178 f,f,TOI-178,7.3020115,-30.4541159,357.28914,-84.10376,15.231915,0.1039,,521.0,,,3.6,0.1037,2458745.7178,-87.2528,15.9205,62.699,13.056,11.955,9.372,8.761,8.656,,,,,8.573,8.64,8.563,8.477,,11.1523,10.42,0,[Fe/H],K,,,0,2.348,2.76,0.204,2.287,0.0322,34.33,,0,0.765,0.02429,7.72,Mass,4316.0,-0.23,57.38,1.5,-0.879,4.45,7.1,0.65,3.31,0.65,0,0,1,1,0,0,0,0,0,0,1,6,0,173.4904992,149.953
481,Kepler-786 b,b,Kepler-786,293.7439223,38.9392217,72.28336,8.96715,53.5293487,0.2548,0.0,348.0,,3.66,2.48,0.10861,2454980.86415,-10.6125,2.0321,485.318,16.419,15.253,13.341,12.843,12.706,,14.815,14.511,14.363,12.665,12.762,12.117,9.336,15.765,14.9463,14.2824,0,[Fe/H],,14.887,,0,5.577,,0.217,2.43,0.03025,75.21,,0,0.0963,0.0204,6.48,M-R relationship,4838.0,0.09,,,-0.583,4.61,2.51,0.81,2.25989,0.74,0,0,1,0,0,0,0,0,0,0,1,1,0,11.6299823,-4.75724
482,Kepler-465 b,b,Kepler-465,284.5557853,46.0638865,76.08667,18.06408,9.94067247,0.0953,0.0,996.0,,227.82,1.93,0.05238,2454968.215073,10.8407,1.77944,553.077,13.336,12.651,11.735,11.516,11.456,,12.615,12.545,12.563,11.426,11.462,11.52,9.264,12.937,12.5914,12.2404,0,[Fe/H],,12.663,,0,3.9006,,0.263,2.95,0.02114,19.867,,0,0.754,0.0283,9.01,M-R relationship,6310.0,0.09,-33.25,,0.338,4.31,2.19,1.23,1.4944,1.29,0,0,1,0,0,0,0,0,0,0,1,1,0,13.1630133,7.4662
483,Kepler-960 b,b,Kepler-960,281.4572217,46.7465538,76.01081,20.30579,3.12686223,0.0414,0.0,1391.0,,129.22,2.68,0.07946,2454966.724506,19.387,3.48098,284.916,15.865,14.127,12.272,11.729,11.618,,13.802,13.504,13.329,11.53,11.597,11.663,9.547,14.771,13.8413,13.1799,0,[Fe/H],,13.884,,0,1.1975,,0.204,2.29,0.02858,20.25,,0,0.7251,0.0184,5.86,M-R relationship,4755.0,0.02,,,-0.629,4.61,3.63,0.77,8.96358,0.72,0,0,1,0,0,0,0,0,0,0,1,1,0,19.4732045,1.83028
484,Kepler-409 b,b,Kepler-409,293.6792058,46.8527337,79.43306,12.6169,68.9584,0.3183,0.0,402.0,,6.16,,0.01238,2455012.08151,-6.00732,14.6396,68.173,10.357,9.636,8.2,7.838,7.768,,9.364,9.211,9.154,7.707,7.781,7.733,7.72,9.971,9.39109,8.8932,0,[Fe/H],,9.439,,0,3.0854,,0.106,1.19,0.01222,170.72,,0,0.9,0.06922,22.0,Mass,5460.0,0.08,-28.26,2.0,-0.202,4.5,6.8,0.92,1.81,0.89,0,0,1,1,0,0,0,0,0,0,1,1,0,7.606681,4.66623
485,TOI-2196 b,b,TOI-2196,312.3400744,-70.4850723,323.77267,-35.17676,1.1947268,0.02234,0.0,1860.0,,2000.0,3.31,0.112723,2459036.5126,-19.9808,3.81833,259.947,13.014,12.297,10.743,10.452,10.346,,,,,10.326,10.344,10.405,8.08,,11.8259,11.3643,0,[Fe/H],G V,,,0,1.504,15.16,0.313,3.51,0.0308,4.61,,0,0.712,0.08181,26.0,Mass,5634.0,0.14,,2.0,-0.004,4.42,4.5,1.03,1.25,1.04,0,0,1,1,0,0,0,0,0,0,1,1,0,25.8220941,16.3569
486,HATS-66 b,b,HATS-66,101.3948048,-33.8816918,243.30951,-15.84807,3.1414391,0.04714,0.064,1998.0,,2637.0,2.34,0.543303,2457603.0514,2.54863,0.647617,1477.98,14.626,14.283,13.083,12.827,12.761,,14.015,13.89,,12.776,12.8,12.828,8.826,14.344,14.0086,13.6373,0,[Fe/H],,,,0,4.5432,586.0,1.411,15.816,0.0787,5.5,,0,0.283,5.33,1694.0339,Mass,6626.0,-0.017,39.94,12.86,0.767,4.06,2.17,1.41,0.318,1.84,0,0,1,1,0,0,0,0,0,0,1,1,0,4.2244222,-3.36901
487,K2-138 c,c,K2-138,348.9490311,-10.8497391,64.21591,-62.23886,3.56004,0.04461,0.045,1012.0,,279.0,2.8,,2457740.32182,-10.5219,4.90795,202.585,13.063,12.246,10.756,10.384,10.305,15.0982,12.065,11.8643,13.046,10.274,10.332,10.279,8.84,14.8948,12.0252,11.5018,0,[M/H],G8 V,12.069,,0,2.38,2.78,0.205,2.299,0.02439,11.1,,0,0.369,0.01985,6.31,Mass,5356.3,0.14,0.64,2.7,-0.287,4.54,2.8,0.94,2.064,0.86,0,0,1,0,0,0,0,0,0,0,1,6,0,10.5710313,-1.018
488,KMT-2019-BLG-1339L b,b,KMT-2019-BLG-1339L,265.743417,-25.5739167,2.55867,2.25989,,2.15,,,,,0.848,,,,,6120.0,,,,,,,,,,,,,,,,,0,,,,,0,,,1.22,13.7,,,,0,,1.25,397.0,Mass,,,,,,,,0.48,,,0,0,0,0,0,0,1,0,0,0,1,1,0,,
489,Kepler-82 e,e,Kepler-82,292.8733696,42.9661583,75.61681,11.39306,5.902206,0.063,0.0,926.0,,144.34,2.43,0.07023,2454969.78443,6.60364,1.07762,904.326,15.94,15.131,13.879,13.527,13.518,,15.096,14.918,14.803,13.42,13.48,12.906,9.215,15.718,15.1377,14.6108,0,[M/H],,15.158,,0,2.827,,0.22,2.47,0.02521,15.26,,0,0.0,0.021,6.66,M-R relationship,5428.0,0.211,,,-0.185,4.47,4.68,0.96,2.27335,0.95,1,0,1,0,0,0,0,0,0,0,1,5,0,6.606382,0.190322
490,Kepler-247 b,b,Kepler-247,288.6425609,43.0393769,74.32823,14.22116,3.33616,0.042,0.0,970.0,,216.11,4.15,0.04593,2454968.3129,16.8171,1.47846,663.711,16.238,15.199,13.597,13.178,13.051,,14.99,14.755,14.63,13.026,13.074,12.316,9.092,15.794,15.0473,14.4462,0,[Fe/H],,15.067,,0,2.077,,0.146,1.64,0.01906,12.255,,0,0.14,0.0105,3.33,M-R relationship,5100.0,0.05,,,-0.422,4.61,0.8,0.84,3.12818,0.77,1,0,1,0,0,0,0,0,0,0,1,3,0,17.70161,5.52559
491,Kepler-42 d,d,Kepler-42,292.2196,44.6173667,76.91718,12.54674,1.865169,0.0154,0.02,450.0,,12.54,3.86,0.11248,2454966.7847,-417.42,24.934,40.0595,18.121,16.7,12.177,11.685,11.465,,15.909,15.338,,11.257,11.065,10.935,9.007,17.27,14.9931,13.7435,0,[M/H],M,15.92,,0,0.4279,,0.051,0.57,0.0307,37.02,,0,0.681,0.00041,0.13,M-R relationship,3068.0,-0.33,-84.48,3.3,-2.62,5.11,4.5,0.13,26.8,0.17,0,0,1,0,0,0,0,0,0,0,1,3,0,427.6819742,93.1258
492,Kepler-1073 c,c,Kepler-1073,294.1527259,38.2330886,71.80378,8.35401,4.02582254,0.0483,0.0,1169.0,,357.08,4.15,0.02653,2454968.42601,11.1608,1.20622,809.897,15.405,14.749,13.332,12.957,12.924,,14.476,14.301,14.225,12.834,12.912,12.3,8.953,15.04,14.5317,14.032,0,[Fe/H],,14.523,,0,2.7665,,0.146,1.64,0.01512,11.29,,0,0.017,0.0105,3.33,M-R relationship,5792.0,0.0,,,-0.01,4.44,3.72,1.0,1.61174,1.0,0,0,1,0,0,0,0,0,0,0,1,3,0,12.1185724,4.7219
493,Kepler-1041 b,b,Kepler-1041,293.8817361,49.6831419,82.10329,13.74396,24.7576421,0.1688,0.0,644.0,,117.96,1.94,0.04587,2454975.06892,1.43905,0.644206,1485.82,15.247,14.576,13.405,13.096,13.034,,14.427,14.315,14.256,13.019,13.034,12.716,9.407,14.896,14.4422,14.0013,0,[Fe/H],,14.49,,0,7.361,,0.262,2.94,0.02458,14.92,,0,0.861,0.0282,8.96,M-R relationship,5957.0,0.01,,,0.489,4.4,3.55,1.06,0.07423,1.08,0,0,1,0,0,0,0,0,0,0,1,1,0,1.527279,0.511582
494,Kepler-1315 b,b,Kepler-1315,295.8215678,46.0530562,79.39487,10.93871,0.84338011,0.0163,0.0,1541.0,,897.9,5.19,0.03433,2454964.966211,-1.16756,2.05104,480.869,16.253,15.133,13.33,12.808,12.684,,14.897,14.579,14.383,12.498,12.548,12.102,9.127,15.898,14.9517,14.273,0,[Fe/H],,14.975,,0,1.4362,,0.123,1.38,0.01677,4.545,,0,0.159,0.0078,2.48,M-R relationship,4861.0,0.07,,,-0.628,4.6,3.47,0.8,2.49769,0.75,0,0,1,0,0,0,0,0,0,0,1,2,0,17.6278086,17.5891
495,Kepler-1530 c,c,Kepler-1530,288.1624396,48.165153,79.07662,16.55153,5.3227406,0.06,0.0,1167.0,,135.18,4.11,0.03424,2454966.2203,2.83355,2.0125,489.876,15.397,14.15,12.798,12.451,12.3,,13.964,13.782,13.702,12.271,12.309,12.665,9.448,14.595,14.0055,13.4865,0,[Fe/H],,14.026,,0,2.571,,0.147,1.65,0.01686,9.42,,0,0.0643,0.0106,3.36,M-R relationship,5477.0,0.03,,,-0.311,4.52,4.27,0.92,2.76538,0.88,1,0,1,0,0,0,0,0,0,0,1,3,0,6.5033649,-5.85361
